Model,Accuracy,Precision,Recall,F1-score
LogisticRegression,0.807,0.6617954070981211,0.24143183549124142,0.35379464285714285
RandomForest,0.8161666666666667,0.6426630434782609,0.3602437166793602,0.46168862859931675
MLPClassifier,0.7671666666666667,0.46309314586994726,0.4013709063214014,0.4300285597715218
